"","Region","Ethnicity","All.usual.residents","Population","Value","Arrests","AP"
"1","East","Asian",5846965,278372,4.76,1939,0.00696549940367566
"2","East","Black",5846965,117442,2.01,3004,0.0255785834709899
"3","East","Mixed",5846965,112116,1.92,1665,0.0148506903564166
"4","East","Other ",5846965,28841,0.49,899,0.0311709025345862
"5","East","White",5846965,5310194,90.82,34397,0.00647754112184979
"6","East_Midlands","Asian",4533222,293423,6.47,3065,0.0104456705847871
"7","East_Midlands","Black",4533222,81484,1.8,3839,0.0471135437631928
"8","East_Midlands","Mixed",4533222,86224,1.9,1606,0.0186259046205233
"9","East_Midlands","Other ",4533222,25735,0.57,741,0.0287934719253934
"10","East_Midlands","White",4533222,4046356,89.26,42237,0.0104382807642234
"11","London","Asian",8173941,1511546,18.49,14947,0.00988855119195843
"12","London","Black",8173941,1088640,13.32,32184,0.0295634920634921
"13","London","Mixed",8173941,405279,4.96,7075,0.0174571097935003
"14","London","Other ",8173941,281041,3.44,4725,0.0168124935507631
"15","London","White",8173941,4887435,59.79,50136,0.0102581415405013
"16","North_East","Asian",2596886,74599,2.87,963,0.0129090202281532
"17","North_East","Black",2596886,13220,0.51,714,0.0540090771558245
"18","North_East","Mixed",2596886,22449,0.86,262,0.0116708984810014
"19","North_East","Other ",2596886,11051,0.43,173,0.0156546918830875
"20","North_East","White",2596886,2475567,95.33,36933,0.0149190064336776
"21","North_West","Asian",7052177,437485,6.2,2888,0.00660136918980079
"22","North_West","Black",7052177,97869,1.39,2937,0.0300095024982374
"23","North_West","Mixed",7052177,110891,1.57,1462,0.0131841177372375
"24","North_West","Other ",7052177,44216,0.63,839,0.0189750316627465
"25","North_West","White",7052177,6361716,90.21,54235,0.0085252155236103
"26","South_East","Asian",8634750,452042,5.24,4984,0.011025524176957
"27","South_East","Black",8634750,136013,1.58,6371,0.0468411107761758
"28","South_East","Mixed",8634750,167764,1.94,3526,0.0210176199899859
"29","South_East","Other ",8634750,51111,0.59,1266,0.0247696190643893
"30","South_East","White",8634750,7827820,90.65,70983,0.00906804193249206
"31","South_West","Asian",5288935,105537,2,1001,0.00948482522717151
"32","South_West","Black",5288935,49476,0.94,2580,0.0521464952704341
"33","South_West","Mixed",5288935,71884,1.36,1211,0.0168465861666017
"34","South_West","Other ",5288935,15609,0.3,405,0.0259465692869498
"35","South_West","White",5288935,5046429,95.41,38297,0.00758893070723872
"36","Wales","Asian",3063456,70128,2.29,835,0.0119067989961214
"37","Wales","Black",3063456,18276,0.6,1069,0.0584920113810462
"38","Wales","Mixed",3063456,31521,1.03,569,0.0180514577583199
"39","Wales","Other ",3063456,15278,0.5,517,0.0338395077889776
"40","Wales","White",3063456,2928253,95.59,40829,0.0139431258159729
"41","West_Midlands","Asian",5601847,604435,10.79,6623,0.0109573403260897
"42","West_Midlands","Black",5601847,182125,3.25,5259,0.028875772134523
"43","West_Midlands","Mixed",5601847,131714,2.35,2599,0.0197321469243968
"44","West_Midlands","Other ",5601847,49904,0.89,813,0.0162912792561718
"45","West_Midlands","White",5601847,4633669,82.72,35809,0.00772800128796425
"46","Yorkshire","Asian",5283733,385964,7.3,5627,0.0145790799141889
"47","Yorkshire","Black",5283733,80345,1.52,2159,0.0268716161553301
"48","Yorkshire","Mixed",5283733,84558,1.6,1857,0.0219612573618108
"49","Yorkshire","Other ",5283733,40910,0.77,770,0.018821803959912
"50","Yorkshire","White",5283733,4691956,88.8,48464,0.0103291676222028
